sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_saline_A_1_microbiome2_C	oral_saline_A_2_microbiome2_C	0.354312318818999	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_microbiome2_C	oral_saline_A_3_microbiome2_C	0.39072904842137557	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_2_qiagen_C	0.3643693674090527	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_3_qiagen_C	0.35164562779598646	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome20_C	oral_saline_A_3_microbiome20_C	0.36660928047834956	human.saline.rinse.A	MM (20-min.)	human.saline.rinse.A	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome2_C	oral_saline_A_3_microbiome2_C	0.3501220460985803	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_qiagen_C	oral_saline_A_3_qiagen_C	0.3776743917241818	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_2_microbiome20_C	0.37823569405610696	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_3_microbiome20_C	0.40429403732625896	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_2_microbiome2_C	0.3940137511377674	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_3_microbiome2_C	0.369877402766408	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_qiagen_C	oral_saline_D_2_qiagen_C	0.3320650466491398	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_qiagen_C	oral_saline_D_3_qiagen_C	0.3645689522062549	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
