sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_yogurt_4_1_qiagen_H	food_yogurt_4_3_qiagen_H	0.5463258785942492	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome20_H	food_yogurt_4_3_microbiome20_H	0.49642857142857144	Yoplait mango	MM (20-min.)	Yoplait mango	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome2_H	food_yogurt_4_3_microbiome2_H	0.44404332129963897	Yoplait mango	MM (2-min.)	Yoplait mango	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_qiagen_H	food_yogurt_4_3_qiagen_H	0.4806201550387597	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_2_microbiome20_H	0.39700996677740863	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_3_microbiome20_H	0.3884297520661157	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.4180064308681672	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.41818181818181815	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.4128289473684211	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_2_microbiome2_H	0.4003831417624521	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_3_microbiome2_H	0.4060721062618596	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.40943396226415096	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.3996138996138996	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
