sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_human_D_2_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.34950548191994785	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.36030269820431876	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.37507866123380446	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_human_D_3_qiagen_H	0.4319693232891299	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_saliva_D_1_qiagen_C	0.33757849047888844	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_saliva_D_2_qiagen_C	0.3372028425881296	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_2_qiagen_H	oral_saliva_D_3_qiagen_C	0.3360722397117992	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_3_microbiome20_H	oral_saliva_D_1_microbiome20_C	0.438251753067618	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome20_H	oral_saliva_D_2_microbiome20_C	0.43007194614275956	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome20_H	oral_saliva_D_3_microbiome20_C	0.43326523639936665	human.saliva.D	MM (20-min.)	human.saliva.D	MM (20-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome2_H	oral_saliva_D_1_microbiome2_C	0.46113372414871373	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome2_H	oral_saliva_D_2_microbiome2_C	0.4652971036841591	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_3_microbiome2_H	oral_saliva_D_3_microbiome2_C	0.4475159600282939	human.saliva.D	MM (2-min.)	human.saliva.D	MM (2-min.)	human	human saliva	high	High biomass
oral_human_D_3_qiagen_H	oral_saliva_D_1_qiagen_C	0.4579508782075673	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_3_qiagen_H	oral_saliva_D_2_qiagen_C	0.45181047208751274	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_D_3_qiagen_H	oral_saliva_D_3_qiagen_C	0.4346704224251004	human.saliva.D	PS	human.saliva.D	PS	human	human saliva	high	High biomass
oral_human_O_1_microbiome20_H	oral_human_O_2_microbiome20_H	0.35120933428534773	human.saliva.O	MM (20-min.)	human.saliva.O	MM (20-min.)	human	human saliva	high	High biomass
oral_human_O_1_microbiome20_H	oral_human_O_3_microbiome20_H	0.344868797838982	human.saliva.O	MM (20-min.)	human.saliva.O	MM (20-min.)	human	human saliva	high	High biomass
oral_human_O_1_microbiome2_H	oral_human_O_2_microbiome2_H	0.34960482208163574	human.saliva.O	MM (2-min.)	human.saliva.O	MM (2-min.)	human	human saliva	high	High biomass
oral_human_O_1_microbiome2_H	oral_human_O_3_microbiome2_H	0.3598135145849194	human.saliva.O	MM (2-min.)	human.saliva.O	MM (2-min.)	human	human saliva	high	High biomass
oral_human_O_1_qiagen_H	oral_human_O_2_qiagen_H	0.37932515584326143	human.saliva.O	PS	human.saliva.O	PS	human	human saliva	high	High biomass
oral_human_O_1_qiagen_H	oral_human_O_3_qiagen_H	0.39544086580854937	human.saliva.O	PS	human.saliva.O	PS	human	human saliva	high	High biomass
oral_human_O_2_microbiome20_H	oral_human_O_3_microbiome20_H	0.2926358118789179	human.saliva.O	MM (20-min.)	human.saliva.O	MM (20-min.)	human	human saliva	high	High biomass
oral_human_O_2_microbiome2_H	oral_human_O_3_microbiome2_H	0.32658954402232343	human.saliva.O	MM (2-min.)	human.saliva.O	MM (2-min.)	human	human saliva	high	High biomass
oral_human_O_2_qiagen_H	oral_human_O_3_qiagen_H	0.3737786493954019	human.saliva.O	PS	human.saliva.O	PS	human	human saliva	high	High biomass
oral_human_P_1_microbiome20_H	oral_human_P_2_microbiome20_H	0.3149511766223889	human.saliva.P	MM (20-min.)	human.saliva.P	MM (20-min.)	human	human saliva	high	High biomass
oral_human_P_1_microbiome20_H	oral_human_P_3_microbiome20_H	0.33685380898912065	human.saliva.P	MM (20-min.)	human.saliva.P	MM (20-min.)	human	human saliva	high	High biomass
oral_human_P_1_microbiome2_H	oral_human_P_2_microbiome2_H	0.36406507966498136	human.saliva.P	MM (2-min.)	human.saliva.P	MM (2-min.)	human	human saliva	high	High biomass
oral_human_P_1_microbiome2_H	oral_human_P_3_microbiome2_H	0.32651638146293394	human.saliva.P	MM (2-min.)	human.saliva.P	MM (2-min.)	human	human saliva	high	High biomass
oral_human_P_1_qiagen_H	oral_human_P_3_qiagen_H	0.3234629369900466	human.saliva.P	PS	human.saliva.P	PS	human	human saliva	high	High biomass
oral_human_P_2_microbiome20_H	oral_human_P_3_microbiome20_H	0.23757566808875039	human.saliva.P	MM (20-min.)	human.saliva.P	MM (20-min.)	human	human saliva	high	High biomass
oral_human_P_2_microbiome2_H	oral_human_P_3_microbiome2_H	0.3137599568199433	human.saliva.P	MM (2-min.)	human.saliva.P	MM (2-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome20_H	oral_human_Q_2_microbiome20_H	0.3652608187568323	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome20_H	oral_human_Q_3_microbiome20_H	0.34200820108392505	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome20_H	oral_saliva_Q_1_microbiome20_C	0.3617396173819061	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome20_H	oral_saliva_Q_2_microbiome20_C	0.3464281524103082	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome20_H	oral_saliva_Q_3_microbiome20_C	0.40119525690142344	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome2_H	oral_human_Q_2_microbiome2_H	0.35631809035767786	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome2_H	oral_human_Q_3_microbiome2_H	0.3885326173012413	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome2_H	oral_saliva_Q_1_microbiome2_C	0.36849116231300283	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome2_H	oral_saliva_Q_2_microbiome2_C	0.3690263916761181	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
oral_human_Q_1_microbiome2_H	oral_saliva_Q_3_microbiome2_C	0.3847241403707084	human.saliva.Q	MM (2-min.)	human.saliva.Q	MM (2-min.)	human	human saliva	high	High biomass
oral_human_Q_1_qiagen_H	oral_human_Q_2_qiagen_H	0.36176298889700875	human.saliva.Q	PS	human.saliva.Q	PS	human	human saliva	high	High biomass
oral_human_Q_1_qiagen_H	oral_human_Q_3_qiagen_H	0.37839677223322055	human.saliva.Q	PS	human.saliva.Q	PS	human	human saliva	high	High biomass
oral_human_Q_1_qiagen_H	oral_saliva_Q_1_qiagen_C	0.36720983070387664	human.saliva.Q	PS	human.saliva.Q	PS	human	human saliva	high	High biomass
oral_human_Q_1_qiagen_H	oral_saliva_Q_2_qiagen_C	0.3881454598342942	human.saliva.Q	PS	human.saliva.Q	PS	human	human saliva	high	High biomass
oral_human_Q_1_qiagen_H	oral_saliva_Q_3_qiagen_C	0.36608933191965687	human.saliva.Q	PS	human.saliva.Q	PS	human	human saliva	high	High biomass
oral_human_Q_2_microbiome20_H	oral_human_Q_3_microbiome20_H	0.36004910382261035	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
oral_human_Q_2_microbiome20_H	oral_saliva_Q_1_microbiome20_C	0.36486462760312094	human.saliva.Q	MM (20-min.)	human.saliva.Q	MM (20-min.)	human	human saliva	high	High biomass
