sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_saline_A_1_microbiome2_C	oral_saline_A_2_microbiome2_C	0.16144851630336773	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_microbiome2_C	oral_saline_A_3_microbiome2_C	0.15191977929223593	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_2_qiagen_C	0.6010032189393368	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_3_qiagen_C	0.6189069884479087	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome20_C	oral_saline_A_3_microbiome20_C	0.2611915506209359	human.saline.rinse.A	MM (20-min.)	human.saline.rinse.A	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome2_C	oral_saline_A_3_microbiome2_C	0.24935589496107008	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_qiagen_C	oral_saline_A_3_qiagen_C	0.14344002415072118	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_2_microbiome20_C	0.5264353487724189	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_3_microbiome20_C	0.5765441560898855	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_2_microbiome2_C	0.08483612311997957	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_3_microbiome2_C	0.11002485633757739	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_qiagen_C	oral_saline_D_2_qiagen_C	0.2626692178507713	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_qiagen_C	oral_saline_D_3_qiagen_C	0.35184834935652	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_2_microbiome20_C	oral_saline_D_3_microbiome20_C	0.2187129639114903	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_2_microbiome2_C	oral_saline_D_3_microbiome2_C	0.11290436414244924	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_2_qiagen_C	oral_saline_D_3_qiagen_C	0.16941316154429772	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome20_C	oral_saline_Q_2_microbiome20_C	0.4763564344401697	human.saline.rinse.Q	MM (20-min.)	human.saline.rinse.Q	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome20_C	oral_saline_Q_3_microbiome20_C	0.6093658630058779	human.saline.rinse.Q	MM (20-min.)	human.saline.rinse.Q	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome2_C	oral_saline_Q_2_microbiome2_C	0.295045506843003	human.saline.rinse.Q	MM (2-min.)	human.saline.rinse.Q	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome2_C	oral_saline_Q_3_microbiome2_C	0.2541617373013177	human.saline.rinse.Q	MM (2-min.)	human.saline.rinse.Q	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_qiagen_C	oral_saline_Q_2_qiagen_C	0.205189315606358	human.saline.rinse.Q	PS	human.saline.rinse.Q	PS	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_qiagen_C	oral_saline_Q_3_qiagen_C	0.26111351716919357	human.saline.rinse.Q	PS	human.saline.rinse.Q	PS	human	human oral saline rinse	low	Low biomass
oral_saline_Q_2_microbiome20_C	oral_saline_Q_3_microbiome20_C	0.18006408207291283	human.saline.rinse.Q	MM (20-min.)	human.saline.rinse.Q	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_2_microbiome2_C	oral_saline_Q_3_microbiome2_C	0.2006492578955082	human.saline.rinse.Q	MM (2-min.)	human.saline.rinse.Q	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_2_qiagen_C	oral_saline_Q_3_qiagen_C	0.19321591378801284	human.saline.rinse.Q	PS	human.saline.rinse.Q	PS	human	human oral saline rinse	low	Low biomass
oral_saline_vtm_A_1_microbiome20_C	oral_saline_vtm_A_2_microbiome20_C	0.19640554551444428	human.saline.rinse.VTM.A	MM (20-min.)	human.saline.rinse.VTM.A	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_microbiome20_C	oral_saline_vtm_A_3_microbiome20_C	0.11204956120556261	human.saline.rinse.VTM.A	MM (20-min.)	human.saline.rinse.VTM.A	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_microbiome2_C	oral_saline_vtm_A_2_microbiome2_C	0.08865520721666446	human.saline.rinse.VTM.A	MM (2-min.)	human.saline.rinse.VTM.A	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_microbiome2_C	oral_saline_vtm_A_3_microbiome2_C	0.16029151803664385	human.saline.rinse.VTM.A	MM (2-min.)	human.saline.rinse.VTM.A	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_qiagen_C	oral_saline_vtm_A_2_qiagen_C	0.8120843263293409	human.saline.rinse.VTM.A	PS	human.saline.rinse.VTM.A	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_qiagen_C	oral_saline_vtm_A_3_qiagen_C	1.1444174766789927	human.saline.rinse.VTM.A	PS	human.saline.rinse.VTM.A	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_2_microbiome20_C	oral_saline_vtm_A_3_microbiome20_C	0.11878236957651225	human.saline.rinse.VTM.A	MM (20-min.)	human.saline.rinse.VTM.A	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_2_microbiome2_C	oral_saline_vtm_A_3_microbiome2_C	0.09937739463966587	human.saline.rinse.VTM.A	MM (2-min.)	human.saline.rinse.VTM.A	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_2_qiagen_C	oral_saline_vtm_A_3_qiagen_C	0.3794988460718507	human.saline.rinse.VTM.A	PS	human.saline.rinse.VTM.A	PS	human	human oral saline rinse in VTM	low	Low biomass
