sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_yogurt_4_1_qiagen_H	food_yogurt_4_3_qiagen_H	0.3405520077802101	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome20_H	food_yogurt_4_3_microbiome20_H	0.3076857048688765	Yoplait mango	MM (20-min.)	Yoplait mango	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome2_H	food_yogurt_4_3_microbiome2_H	0.09842116320585727	Yoplait mango	MM (2-min.)	Yoplait mango	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_qiagen_H	food_yogurt_4_3_qiagen_H	0.07238737899082452	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_2_microbiome20_H	0.0706242106672753	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_3_microbiome20_H	0.0962660561873701	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.2097267348190104	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.08229368882201046	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.07632756908200179	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_2_microbiome2_H	0.04412600918794501	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_3_microbiome2_H	0.03889578647161246	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_1_microbiome2_C	0.11535974088041887	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_2_microbiome2_C	0.08250987337290702	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_saliva_A_3_microbiome2_C	0.07336615203471787	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
