sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_saline_A_1_microbiome2_C	oral_saline_A_3_microbiome2_C	0.4582560296846011	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_2_qiagen_C	0.4050632911392405	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_3_qiagen_C	0.4188034188034188	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome20_C	oral_saline_A_3_microbiome20_C	0.4230769230769231	human.saline.rinse.A	MM (20-min.)	human.saline.rinse.A	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome2_C	oral_saline_A_3_microbiome2_C	0.42829076620825146	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_qiagen_C	oral_saline_A_3_qiagen_C	0.4156378600823045	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_2_microbiome20_C	0.4189189189189189	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_3_microbiome20_C	0.4490238611713666	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_2_microbiome2_C	0.46311475409836067	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_3_microbiome2_C	0.43829787234042555	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_qiagen_C	oral_saline_D_2_qiagen_C	0.3783132530120482	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_qiagen_C	oral_saline_D_3_qiagen_C	0.4178082191780822	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_2_microbiome20_C	oral_saline_D_3_microbiome20_C	0.43237250554323725	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_2_microbiome2_C	oral_saline_D_3_microbiome2_C	0.4816326530612245	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_2_qiagen_C	oral_saline_D_3_qiagen_C	0.41839080459770117	human.saline.rinse.D	PS	human.saline.rinse.D	PS	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome20_C	oral_saline_Q_2_microbiome20_C	0.4743362831858407	human.saline.rinse.Q	MM (20-min.)	human.saline.rinse.Q	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome20_C	oral_saline_Q_3_microbiome20_C	0.42193308550185876	human.saline.rinse.Q	MM (20-min.)	human.saline.rinse.Q	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome2_C	oral_saline_Q_2_microbiome2_C	0.45925925925925926	human.saline.rinse.Q	MM (2-min.)	human.saline.rinse.Q	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_microbiome2_C	oral_saline_Q_3_microbiome2_C	0.43243243243243246	human.saline.rinse.Q	MM (2-min.)	human.saline.rinse.Q	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_qiagen_C	oral_saline_Q_2_qiagen_C	0.4223744292237443	human.saline.rinse.Q	PS	human.saline.rinse.Q	PS	human	human oral saline rinse	low	Low biomass
oral_saline_Q_1_qiagen_C	oral_saline_Q_3_qiagen_C	0.42792792792792794	human.saline.rinse.Q	PS	human.saline.rinse.Q	PS	human	human oral saline rinse	low	Low biomass
oral_saline_Q_2_microbiome20_C	oral_saline_Q_3_microbiome20_C	0.46774193548387094	human.saline.rinse.Q	MM (20-min.)	human.saline.rinse.Q	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_2_microbiome2_C	oral_saline_Q_3_microbiome2_C	0.4349442379182156	human.saline.rinse.Q	MM (2-min.)	human.saline.rinse.Q	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_Q_2_qiagen_C	oral_saline_Q_3_qiagen_C	0.4013761467889908	human.saline.rinse.Q	PS	human.saline.rinse.Q	PS	human	human oral saline rinse	low	Low biomass
oral_saline_vtm_A_1_microbiome20_C	oral_saline_vtm_A_2_microbiome20_C	0.45286506469500926	human.saline.rinse.VTM.A	MM (20-min.)	human.saline.rinse.VTM.A	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_microbiome20_C	oral_saline_vtm_A_3_microbiome20_C	0.44569288389513106	human.saline.rinse.VTM.A	MM (20-min.)	human.saline.rinse.VTM.A	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_microbiome2_C	oral_saline_vtm_A_2_microbiome2_C	0.4246031746031746	human.saline.rinse.VTM.A	MM (2-min.)	human.saline.rinse.VTM.A	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_microbiome2_C	oral_saline_vtm_A_3_microbiome2_C	0.43333333333333335	human.saline.rinse.VTM.A	MM (2-min.)	human.saline.rinse.VTM.A	MM (2-min.)	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_qiagen_C	oral_saline_vtm_A_2_qiagen_C	0.44863731656184486	human.saline.rinse.VTM.A	PS	human.saline.rinse.VTM.A	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_1_qiagen_C	oral_saline_vtm_A_3_qiagen_C	0.4279475982532751	human.saline.rinse.VTM.A	PS	human.saline.rinse.VTM.A	PS	human	human oral saline rinse in VTM	low	Low biomass
oral_saline_vtm_A_2_microbiome20_C	oral_saline_vtm_A_3_microbiome20_C	0.45083487940630795	human.saline.rinse.VTM.A	MM (20-min.)	human.saline.rinse.VTM.A	MM (20-min.)	human	human oral saline rinse in VTM	low	Low biomass
