sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
food_yogurt_4_1_qiagen_H	food_yogurt_4_3_qiagen_H	0.21137295576404364	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome20_H	food_yogurt_4_3_microbiome20_H	0.36006923557310444	Yoplait mango	MM (20-min.)	Yoplait mango	MM (20-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_microbiome2_H	food_yogurt_4_3_microbiome2_H	0.2658073926789613	Yoplait mango	MM (2-min.)	Yoplait mango	MM (2-min.)	food	yogurt	high	High biomass
food_yogurt_4_2_qiagen_H	food_yogurt_4_3_qiagen_H	0.23004973247746624	Yoplait mango	PS	Yoplait mango	PS	food	yogurt	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_2_microbiome20_H	0.3989208864583749	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_human_A_3_microbiome20_H	0.18980867383368777	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_1_microbiome20_C	0.4720539617363661	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_2_microbiome20_C	0.21478136267757603	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome20_H	oral_saliva_A_3_microbiome20_C	0.21893144919732013	human.saliva.A	MM (20-min.)	human.saliva.A	MM (20-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_2_microbiome2_H	0.16384964132679164	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
oral_human_A_1_microbiome2_H	oral_human_A_3_microbiome2_H	0.03748541824835046	human.saliva.A	MM (2-min.)	human.saliva.A	MM (2-min.)	human	human saliva	high	High biomass
