sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
oral_saline_A_1_microbiome2_C	oral_saline_A_2_microbiome2_C	0.026105801587931635	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_microbiome2_C	oral_saline_A_3_microbiome2_C	0.0691851350344268	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_2_qiagen_C	0.04821834996731785	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_1_qiagen_C	oral_saline_A_3_qiagen_C	0.05579324065224727	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome20_C	oral_saline_A_3_microbiome20_C	0.12211233907982903	human.saline.rinse.A	MM (20-min.)	human.saline.rinse.A	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_microbiome2_C	oral_saline_A_3_microbiome2_C	0.0736292894321357	human.saline.rinse.A	MM (2-min.)	human.saline.rinse.A	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_A_2_qiagen_C	oral_saline_A_3_qiagen_C	0.06204928081993689	human.saline.rinse.A	PS	human.saline.rinse.A	PS	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_2_microbiome20_C	0.05368958012117232	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome20_C	oral_saline_D_3_microbiome20_C	0.02499747182943423	human.saline.rinse.D	MM (20-min.)	human.saline.rinse.D	MM (20-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_2_microbiome2_C	0.046364326509519736	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
oral_saline_D_1_microbiome2_C	oral_saline_D_3_microbiome2_C	0.07039420608123166	human.saline.rinse.D	MM (2-min.)	human.saline.rinse.D	MM (2-min.)	human	human oral saline rinse	low	Low biomass
