row	column	plasmid_reads	plasmid_reads_log10	plasmid_reads_percent	extraction_protocol	well_type
F	11	821	2.914343157	0.038689915	MagMAX (2-min.)	sink
G	11	3	0.477121255	0.000153752	MagMAX (2-min.)	sink
H	11	12	1.079181246	0.000773545	MagMAX (2-min.)	sink
A	12	6	0.77815125	0.000159919	MagMAX (2-min.)	sink
B	12	10	1	0.000377045	MagMAX (2-min.)	sink
C	12	1	0	9.98E-05	MagMAX (2-min.)	sink
D	12	4	0.602059991	0.000477042	MagMAX (2-min.)	sink
E	12	2	0.301029996	0.004474273	MagMAX (2-min.)	sink
F	12	20141	4.304081029	0.911604961	MagMAX (2-min.)	source
G	12	7	0.84509804	0.019498607	MagMAX (2-min.)	sink
H	12	0	0	0	MagMAX (2-min.)	sink
A	1	12	1.079181246	0.000279857	MagMAX (20-min.)	sink
B	1	51	1.707570176	0.001154525	MagMAX (20-min.)	sink
C	1	25	1.397940009	0.000597186	MagMAX (20-min.)	source
D	1	8	0.903089987	0.000239593	MagMAX (20-min.)	sink
E	1	18	1.255272505	0.000471686	MagMAX (20-min.)	sink
F	1	19	1.278753601	0.000515296	MagMAX (20-min.)	sink
G	1	19	1.278753601	0.000483461	MagMAX (20-min.)	sink
H	1	10	1	0.00045556	MagMAX (20-min.)	sink
A	2	11	1.041392685	0.000299434	MagMAX (20-min.)	sink
B	2	10	1	0.000233689	MagMAX (20-min.)	sink
C	2	15	1.176091259	0.00036049	MagMAX (20-min.)	sink
D	2	12	1.079181246	0.000277553	MagMAX (20-min.)	sink
E	2	2	0.301029996	0.000621891	MagMAX (20-min.)	sink
F	2	2298	3.361350024	0.069746267	MagMAX (20-min.)	source
G	2	5	0.698970004	0.002839296	MagMAX (20-min.)	sink
H	2	2	0.301029996	0.016806723	MagMAX (20-min.)	sink
A	3	25	1.397940009	0.000775338	MagMAX (20-min.)	sink
B	3	10	1	0.000232234	MagMAX (20-min.)	sink
C	3	38224	4.582336132	0.897550896	MagMAX (20-min.)	source
D	3	12	1.079181246	0.000406023	MagMAX (20-min.)	sink
E	3	6	0.77815125	0.000183256	MagMAX (20-min.)	sink
F	3	9	0.954242509	0.000234308	MagMAX (20-min.)	sink
G	3	35	1.544068044	0.000869004	MagMAX (20-min.)	sink
H	3	9	0.954242509	0.000273898	MagMAX (20-min.)	sink
A	4	31	1.491361694	0.000753232	MagMAX (20-min.)	sink
B	4	15	1.176091259	0.000394197	MagMAX (20-min.)	sink
C	4	17	1.230448921	0.000437603	MagMAX (20-min.)	sink
D	4	28	1.447158031	0.000720202	MagMAX (20-min.)	sink
E	4	9	0.954242509	0.000245091	MagMAX (20-min.)	sink
F	4	1296	3.112605002	0.033731553	MagMAX (20-min.)	source
G	4	25	1.397940009	0.000595465	MagMAX (20-min.)	sink
H	4	6	0.77815125	0.000188513	MagMAX (20-min.)	sink
A	5	9	0.954242509	0.000230368	MagMAX (20-min.)	sink
B	5	5	0.698970004	0.000142706	MagMAX (20-min.)	sink
C	5	21499	4.33241826	0.594272604	MagMAX (20-min.)	source
D	5	21	1.322219295	0.000687803	MagMAX (20-min.)	sink
E	5	21	1.322219295	0.000618812	MagMAX (20-min.)	sink
F	5	21	1.322219295	0.000759961	MagMAX (20-min.)	sink
G	5	19	1.278753601	0.000467623	MagMAX (20-min.)	sink
H	5	23	1.361727836	0.0006752	MagMAX (20-min.)	sink
A	6	38	1.579783597	0.000771652	MagMAX (20-min.)	sink
B	6	7	0.84509804	0.00026482	MagMAX (20-min.)	sink
C	6	20	1.301029996	0.000658979	MagMAX (20-min.)	sink
D	6	30	1.477121255	0.00101259	MagMAX (20-min.)	sink
E	6	14	1.146128036	0.000343162	MagMAX (20-min.)	sink
F	6	12092	4.082498139	0.34451124	MagMAX (20-min.)	source
G	6	17	1.230448921	0.000481559	MagMAX (20-min.)	sink
H	6	17	1.230448921	0.000375732	MagMAX (20-min.)	sink
A	7	13	1.113943352	0.000285219	MagMAX (20-min.)	sink
B	7	18	1.255272505	0.000400641	MagMAX (20-min.)	sink
C	7	42332	4.626668787	0.916594492	MagMAX (20-min.)	source
D	7	7	0.84509804	0.000402669	MagMAX (20-min.)	sink
E	7	13	1.113943352	0.000655903	MagMAX (20-min.)	sink
F	7	4	0.602059991	0.000266117	MagMAX (20-min.)	sink
G	7	6	0.77815125	0.000803966	MagMAX (20-min.)	sink
H	7	3	0.477121255	0.000205691	MagMAX (20-min.)	sink
A	8	4	0.602059991	0.000285735	MagMAX (20-min.)	sink
B	8	8	0.903089987	0.000327694	MagMAX (20-min.)	sink
C	8	17	1.230448921	0.000630026	MagMAX (20-min.)	sink
D	8	9	0.954242509	0.0003397	MagMAX (20-min.)	sink
E	8	133	2.123851641	0.005898528	MagMAX (20-min.)	sink
F	8	20243	4.306274875	0.819421956	MagMAX (20-min.)	source
G	8	15	1.176091259	0.000684338	MagMAX (20-min.)	sink
H	8	3	0.477121255	0.000179019	MagMAX (20-min.)	sink
A	9	13	1.113943352	0.000741586	MagMAX (20-min.)	sink
B	9	22	1.342422681	0.001123423	MagMAX (20-min.)	sink
C	9	33410	4.523876476	0.877064028	MagMAX (20-min.)	source
D	9	24	1.380211242	0.000981234	MagMAX (20-min.)	sink
E	9	7	0.84509804	0.000338034	MagMAX (20-min.)	sink
F	9	64	1.806179974	0.052416052	MagMAX (20-min.)	sink
G	9	4	0.602059991	0.002434571	MagMAX (20-min.)	sink
H	9	10	1	0.004011231	MagMAX (20-min.)	sink
A	10	469	2.671172843	0.044505599	MagMAX (20-min.)	sink
B	10	9257	3.966470264	0.644727678	MagMAX (20-min.)	sink
C	10	3543	3.549371152	0.39822412	MagMAX (20-min.)	sink
D	10	4660	3.668385917	0.189069664	MagMAX (20-min.)	sink
E	10	26	1.414973348	0.000845116	MagMAX (20-min.)	sink
F	10	43324	4.636728547	0.768142409	MagMAX (20-min.)	source
G	10	17	1.230448921	0.00050081	MagMAX (20-min.)	sink
H	10	49	1.69019608	0.001156097	MagMAX (20-min.)	sink
A	11	25	1.397940009	0.00052489	MagMAX (20-min.)	sink
B	11	201	2.303196057	0.005288499	MagMAX (20-min.)	sink
C	11	33113	4.519998529	0.737795504	MagMAX (20-min.)	source
D	11	5392	3.731749884	0.186065772	MagMAX (20-min.)	sink
E	11	264	2.421603927	0.007525227	MagMAX (20-min.)	sink
F	11	578	2.761927838	0.015036812	MagMAX (20-min.)	sink
G	11	414	2.617000341	0.009840976	MagMAX (20-min.)	sink
H	11	35	1.544068044	0.000890359	MagMAX (20-min.)	sink
A	12	11	1.041392685	0.000241001	MagMAX (20-min.)	sink
